cudacoresfactor, 2xcopytime, kerneltime0, kerneltimeN
187, 1773971.182000, 1640.948000, 1751.564000
188, 1782513.882000, 1648.129000, 1750.542000
189, 1791301.630000, 1655.021000, 1768.665000
190, 1800150.502000, 1637.405000, 1759.756000
191, 1808890.868000, 1641.951000, 1757.133000
192, 1818078.998000, 1659.777000, 1758.453000
193, 1826233.300000, 1639.717000, 1753.007000
194, 1837113.226000, 1656.971000, 1750.644000
195, 1844111.998000, 1657.952000, 1773.561000
196, 1853202.596000, 1635.798000, 1776.710000
197, 1861544.032000, 1632.377000, 1757.107000
198, 1870371.068000, 1645.599000, 1756.399000
199, 1879342.116000, 1637.859000, 1784.281000
200, 1888098.534000, 1632.376000, 1767.820000
201, 1896608.274000, 1627.157000, 1760.854000
202, 1907760.386000, 1634.849000, 1751.875000
203, 1916113.440000, 1629.418000, 1767.147000
204, 1924590.942000, 1631.757000, 1755.333000
205, 1936003.168000, 1645.085000, 1768.061000
206, 1942299.302000, 1630.619000, 1754.466000
207, 1951211.164000, 1629.953000, 1751.206000
208, 1959868.998000, 1635.990000, 1754.877000
209, 1969067.364000, 1642.001000, 1766.634000
210, 1977461.164000, 1627.567000, 1779.448000
211, 1986845.274000, 1624.468000, 1759.851000
212, 1996302.510000, 1660.224000, 1760.803000
213, 2002769.830000, 1644.224000, 1761.218000
214, 2011705.464000, 1633.497000, 1781.974000
215, 2020779.526000, 1638.372000, 1759.924000
216, 2033121.034000, 1647.143000, 1776.850000
217, 2038238.762000, 1643.250000, 1779.190000
218, 2047185.986000, 1635.756000, 1770.700000
219, 2055847.616000, 1644.411000, 1765.767000
220, 2072450.562000, 1653.612000, 1772.171000
221, 2076738.236000, 1650.373000, 1763.445000
222, 2085680.030000, 1641.565000, 1773.089000
223, 2094612.684000, 1646.245000, 1753.145000
224, 2103329.114000, 1660.066000, 1770.775000
225, 2116155.408000, 1658.199000, 1777.905000
226, 2120271.692000, 1650.486000, 1778.586000
227, 2129317.876000, 1640.542000, 1773.737000
228, 2138197.580000, 1647.557000, 1765.414000
229, 2147127.302000, 1640.569000, 1772.153000
230, 2161161.382000, 1667.886000, 1782.220000
231, 2164087.570000, 1639.112000, 1777.827000
232, 2172788.406000, 1659.585000, 1774.625000
233, 2182820.064000, 1643.566000, 1789.031000
234, 2190528.058000, 1656.057000, 1779.204000
235, 2206080.564000, 1676.134000, 1791.248000
236, 2207955.338000, 1640.133000, 1770.899000
237, 2217018.518000, 1650.017000, 1781.443000
238, 2227499.610000, 1633.504000, 1780.124000
239, 2245109.666000, 1678.843000, 1788.800000
240, 2255773.874000, 1645.627000, 1752.505000
241, 2253146.600000, 1643.444000, 1784.766000
242, 2262278.106000, 1640.241000, 1784.795000
243, 2271575.248000, 1644.577000, 1762.931000
244, 2281014.858000, 1647.233000, 1759.475000
245, 2289904.804000, 1658.847000, 1756.551000
246, 2299254.510000, 1645.726000, 1760.914000
247, 2308766.518000, 1655.173000, 1793.579000
248, 2317210.406000, 1660.510000, 1773.622000
249, 2324267.250000, 1671.560000, 1789.565000
250, 2333307.838000, 1651.324000, 1772.589000
251, 2351454.706000, 1648.403000, 1785.340000
252, 2350867.586000, 1650.150000, 1786.429000
253, 2360378.730000, 1651.673000, 1799.881000
254, 2376702.632000, 1687.658000, 1790.595000
255, 2377444.988000, 1643.394000, 1783.442000
256, 2386039.616000, 1648.635000, 1787.227000
257, 2398261.716000, 1647.946000, 1775.313000
258, 2417151.366000, 2252.538000, 1855.485000
259, 2417435.390000, 1654.243000, 1794.712000
260, 2425947.138000, 1653.446000, 1799.531000
261, 2442783.512000, 1687.199000, 1911.482000
262, 2444989.708000, 1668.818000, 1804.242000
263, 2452019.376000, 1660.571000, 1799.836000
264, 2460137.920000, 1648.487000, 1806.173000
265, 2469118.010000, 1685.746000, 1799.102000
266, 2478257.144000, 1655.764000, 1799.458000
267, 2486781.406000, 1652.607000, 1793.604000
268, 2495702.656000, 1671.238000, 1819.953000
269, 2505873.854000, 1649.808000, 1785.052000
270, 2514047.366000, 1671.037000, 1796.562000
271, 2523156.012000, 1678.335000, 1794.843000
272, 2543772.796000, 1678.609000, 1803.095000
273, 2540728.778000, 1669.881000, 1804.050000
274, 2549182.354000, 1682.932000, 1802.112000
275, 2571577.708000, 1667.535000, 1801.675000
276, 2571038.158000, 1670.081000, 1816.005000
277, 2578932.190000, 1653.102000, 1806.405000
278, 2587755.082000, 1641.843000, 1818.136000
279, 2596412.996000, 1645.903000, 1817.816000
280, 2605195.850000, 1667.384000, 1809.622000
281, 2613915.960000, 1660.485000, 1809.986000
282, 2623048.966000, 1666.243000, 1807.874000
283, 2632184.650000, 1646.029000, 1802.060000
284, 2641489.634000, 1658.573000, 1812.784000
285, 2649984.866000, 1681.072000, 1800.188000
286, 2659409.638000, 1677.302000, 1858.413000
287, 2669335.066000, 1650.694000, 1843.972000
288, 2678031.906000, 1680.375000, 1804.367000
289, 2685275.750000, 1656.537000, 1800.257000
290, 2694260.796000, 1666.644000, 1871.778000
291, 2703606.108000, 1658.713000, 1812.209000
292, 2712936.108000, 1663.218000, 1815.815000
293, 2725093.122000, 1667.288000, 1892.270000
294, 2734703.848000, 1677.878000, 1807.982000
295, 2743395.884000, 1659.808000, 1799.604000
296, 2751546.226000, 1664.931000, 1804.365000
297, 2760638.198000, 1647.778000, 1872.583000
298, 2769983.420000, 1657.303000, 1835.217000
299, 2778682.302000, 1654.163000, 1807.917000
300, 2788105.444000, 1663.173000, 1836.124000
301, 2796908.450000, 1680.229000, 1815.190000
302, 2805877.370000, 1657.228000, 1824.274000
303, 2831050.768000, 1676.554000, 1830.639000
304, 2825319.946000, 1665.153000, 1812.564000
305, 2834227.236000, 1684.340000, 1821.539000
306, 2843520.296000, 1655.459000, 1816.650000
307, 2871121.534000, 1663.316000, 1816.347000
308, 2862356.154000, 1686.702000, 1826.098000
309, 2871198.818000, 1652.623000, 1818.786000
310, 2896028.938000, 1655.627000, 1819.267000
311, 2890575.930000, 1667.775000, 1836.192000
312, 2900145.520000, 1665.551000, 1821.638000
313, 2930220.374000, 1657.257000, 1817.169000
314, 2915411.082000, 1675.647000, 1814.171000
315, 2923441.350000, 1650.480000, 1818.860000
316, 2932525.772000, 1653.012000, 1831.985000
317, 2942320.630000, 1670.840000, 1827.166000
318, 2953294.924000, 1662.826000, 1812.474000
319, 2977524.274000, 1658.213000, 1824.713000
320, 2971480.346000, 1664.201000, 1814.929000
321, 2980937.274000, 1674.739000, 1839.827000
322, 3004420.736000, 1691.891000, 1824.864000
323, 2999243.800000, 1656.372000, 1836.402000
324, 3005654.650000, 1653.565000, 1815.249000
325, 3012920.526000, 1652.382000, 1823.103000
326, 3022679.266000, 1688.772000, 1817.058000
